year,num.wolves,MT.wolves,WY.wolves,ID.wolves,OR.wolves,WA.wolves
1982,8,8,0,0,0,0
1983,6,6,0,0,0,0
1984,6,6,0,0,0,0
1985,13,13,0,0,0,0
1986,15,15,0,0,0,0
1987,10,10,0,0,0,0
1988,14,14,0,0,0,0
1989,12,12,0,0,0,0
1990,33,33,0,0,0,0
1991,29,29,0,0,0,0
1992,47,41,0,0,0,0
1993,55,55,0,0,0,0
1994,48,48,0,0,0,0
1995,101,66,21,14,0,0
1996,152,70,40,42,0,0
1997,213,56,86,71,0,0
1998,275,19,112,114,0,0
1999,337,74,107,156,0,0
2000,437,97,153,187,0,0
2001,563,123,189,251,0,0
2002,663,183,217,263,0,0
2003,761,182,234,345,0,0
2004,846,152,272,422,0,0
2005,1020,256,252,512,0,0
2006,1300,316,311,673,0,0
2007,1513,422,259,732,0,0
2008,1655,497,302,856,0,0
2009,1733,524,320,870,14,5
2010,1723,566,343,777,21,16
2011,1804,653,328,768,29,26
2012,1674,625,277,683,46,43
